Description,JobCount
analytic,119
python,118
sql,112
machine learning,81
data science,76
statistics,67
modeling,64
cloud,57
math,56
aws,47
tableau,47
git,46
ml,44
algorithms,43
predictive,43
reporting ,40
spark,40
big data,36
data engineering,33
data visualization,32
data pipeline,28
r,27
azure,24
business intelligence,24
data mining,24
agile,22
java,22
tensorflow,22
hadoop,21
data structure,18
snowflake,18
regression,15
keras,13
classification,12
nosql,12
pytorch,12
clustering,11
databricks,11
pandas,11
pipeline ,11
powerbi,11
scikit-learn,11
software engineering,11
relational databases,10
matlab,9
natural language processing,9
dax,7
gcp,7
google cloud,7
kubernetes,7
looker,7
data warehousing ,6
julia,6
kafka,6
numpy,6
apache,5
apache spark,5
github,5
image processing,5
structured and unstructured data,5
version control,5
c++ ,4
linear algebra,4
probability,4
spark ml,4
xgboost,4
calculus,3
flink,3
mapreduce,3
apache airflo,2
artifical intelligence,2
caffe,2
data security,2
discrete mathematics,2
graph-based,2
power apps,2
rest api,2
sqs,2
apache beam,1
c#,1
cuda,1
data catalogs,1
data cleanliness,1
data table design ,1
nvidia gpus,1
pubsub,1
scio,1
video assets,1
anlyatical,0
cart,0
random forests,0
